Date,SettlePrice
2016-09-16,2139.96
2016-08-19,2180.04
2016-07-15,2172.54
2016-06-17,2079.12
2016-05-20,2047.87
2016-04-15,2083.83
2016-03-18,2050.07
2016-02-19,1911.37
2016-01-15,1866.72
2015-12-18,2029.72
2015-11-20,2092.59
2015-10-16,2034.33
2015-09-18,1970.10
2015-08-21,2015.47
2015-07-17,2124.88
2015-06-19,2117.11
2015-05-15,2123.45
2015-04-17,2090.41
2015-03-20,2090.02
2015-02-20,2094.87
2015-01-16,1989.68
2014-12-19,2061.01
2014-11-21,2075.42
2014-10-17,1881.80
2014-09-19,2022.46
2014-08-15,1963.31
2014-07-18,1966.31
2014-06-20,1964.52
2014-05-16,1870.76
2014-04-17,1858.82
2014-03-21,1893.30
2014-02-21,1841.85
2014-01-17,1846.06
2013-12-20,1812.89
2013-11-15,1790.90
2013-10-18,1739.84
2013-09-20,1723.89
2013-08-16,1657.00
2013-07-19,1688.80
2013-06-21,1599.93
2013-05-17,1654.89
2013-04-19,1545.35
2013-03-15,1557.08
2013-02-15,1523.06
2013-01-18,1481.36
2012-12-21,1433.59
2012-11-16,1353.46
2012-10-19,1454.20
2012-09-21,1467.17
2012-08-17,1419.02
2012-07-20,1370.28
2012-06-15,1336.47
2012-05-18,1310.33
2012-04-20,1383.40
2012-03-16,1405.11
2012-02-17,1363.80
2012-01-20,1313.93
2011-12-16,1225.05
2011-11-18,1221.58
2011-10-21,1228.16
2011-09-16,1216.74
2011-08-19,1126.95
2011-07-15,1316.02
2011-06-17,1279.40
2011-05-20,1342.55
2011-04-15,1318.74
2011-03-18,1287.71
2011-02-18,1342.21
2011-01-21,1289.25
2010-12-17,1242.35
2010-11-19,1195.73
2010-10-15,1183.67
2010-09-17,1131.15
2010-08-20,1072.25
2010-07-16,1090.63
2010-06-18,1118.83
2010-05-21,1050.15
2010-04-16,1207.93
2010-03-19,1172.95
2010-02-19,1101.98
2010-01-15,1147.58
2009-12-18,1102.38
2009-11-20,1090.84
2009-10-16,1087.50
2009-09-18,1071.57
2009-08-21,1020.85
2009-07-17,940.03
2009-06-19,926.15
2009-05-15,891.06
2009-04-17,870.59
2009-03-20,789.40
2009-02-20,768.20
2009-01-16,859.37
2008-12-19,889.74
2008-11-21,763.45
2008-10-17,922.71
2008-09-19,1279.31
2008-08-15,1294.49
2008-07-18,1264.17
2008-06-20,1339.28
2008-05-16,1425.70
2008-04-18,1391.12
2008-03-20,1302.64
2008-02-15,1347.20
2008-01-18,1333.94
2007-12-21,1474.95
2007-11-16,1462.47
2007-10-19,1531.12
2007-09-21,1533.38
2007-08-17,1450.11
2007-07-20,1551.46
2007-06-15,1534.09
2007-05-18,1517.46
2007-04-20,1485.57
2007-03-16,1396.12
2007-02-16,1452.26
2007-01-19,1427.92
2006-12-15,1428.74
2006-11-17,1394.31
2006-10-20,1371.12
2006-09-15,1323.12
2006-08-18,1300.26
2006-07-21,1251.72
2006-06-16,1252.09
2006-05-19,1264.71
2006-04-21,1320.70
2006-03-17,1310.16
2006-02-17,1288.99
2006-01-20,1284.28
2005-12-16,1274.84
2005-11-18,1254.85
2005-10-21,1183.79
2005-09-16,1232.79
2005-08-19,1223.90
2005-07-15,1226.86
2005-06-17,1222.68
2005-05-20,1191.93
2005-04-15,1158.85
2005-03-18,1190.70
2005-02-18,1201.79
2005-01-21,1176.77
2004-12-17,1190.45
2004-11-19,1184.41
2004-10-15,1106.13
2004-09-17,1127.02
2004-08-20,1090.65
2004-07-16,1115.04
2004-06-18,1129.60
2004-05-21,1094.66
2004-04-16,1133.81
2004-03-19,1120.18
2004-02-20,1150.76
2004-01-16,1137.52
2003-12-19,1091.61
2003-11-21,1038.14
2003-10-17,1051.24
2003-09-19,1039.60
2003-08-15,991.05
2003-07-18,989.25
2003-06-20,1001.56
2003-05-16,943.62
2003-04-17,878.92
2003-03-21,887.16
2003-02-21,840.98
2003-01-17,908.33
2002-12-20,891.11
2002-11-15,896.36
2002-10-18,873.57
2002-09-20,846.24
2002-08-16,923.82
2002-07-19,864.12
2002-06-21,991.33
2002-05-17,1100.82
2002-04-19,1130.25
2002-03-15,1158.60
2002-02-15,1116.54
2002-01-18,1127.53
2001-12-21,1147.30
2001-11-16,1144.46
2001-10-19,1066.62
2001-09-21,939.57
2001-08-17,1171.50
2001-07-20,1208.29
2001-06-15,1206.88
2001-05-18,1288.23
2001-04-20,1248.65
2001-03-16,1156.28
2001-02-16,1300.78
2001-01-19,1352.07
2000-12-15,1318.25
2000-11-17,1371.18
2000-10-20,1379.85
2000-09-15,1480.93
2000-08-18,1497.25
2000-07-21,1491.78
2000-06-16,1475.44
2000-05-19,1417.81
2000-04-20,1430.61
2000-03-17,1451.48
2000-02-18,1385.28